"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"--";1;"dahdir";"n";"awak";"--";"dahdir"
"abad";1;"abad";"n";"waktu";"--";"abad"
"abadi";1;"langgeng";"a";"--";"--";"langgeng"
"abu";1;"lebu";"a";"warna";"--";"lebu"
"abu-abu";1;"dawuk";"a";"warna";"--";"dawuk"
"acak";1;"awut";"a";"--";"--";"awut"
"acara";1;"acara";"n";"--";"--";"acara"
"acaranya";1;"acarana";"n";"--";"--";"acara"
"ada";1;"aya";"--";"--";"--";"aya"
"adanya";1;"ayana";"--";"--";"--";"aya"
"adegan";1;"adegan";"n";"--";"--";"adeg"
"adil";1;"adil";"a";"--";"--";"adil"
"adu";1;"adu";"v";"--";"--";"adu"
"agak";1;"rada";"--";"--";"--";"rada"
"agama";1;"ageman";"n";"--";"--";"agem"
"agamanya";1;"agamana";"n";"--";"--";"agama"
"agenda";1;"agénda";"n";"--";"--";"agénda"
"agung";1;"agung";"a";"--";"--";"agung"
"agustus";1;"agustus";"n";"waktu";"--";"agustus"
"ahad";1;"ahad";"n";"waktu";"--";"ahad"
"ahli";1;"ahli";"n";"--";"--";"ahli"
"air";1;"cai";"n";"--";"--";"cai"
"airmatanya";1;"cipanonna";"n";"--";"--";"panon"
"ajak";1;"ajak";"v";"--";"--";"ajak"
"ajakan";1;"ajakan";"n";"--";"--";"ajak"
"ajaran";1;"ajaran";"n";"--";"--";"ajar"
"ajudan";1;"ajudan";"n";"--";"--";"ajudan"
"akal";1;"uteuk";"n";"--";"--";"uteuk"
"akar";1;"akar";"n";"--";"--";"akar"
"akhir";1;"ahir";"ad";"--";"--";"ahir"
"akhirat";1;"ahérat";"n";"--";"--";"ahérat"
"akhirnya";1;"pamustunganana";"n";"--";"--";"pustung"
"akhirnya";1;"ahirna";"a";"--";"--";"ahir"
"akibat";1;"alatan";"n";"--";"--";"akibat"
"akibat";0;"balukar";"n";"--";"--";"balukar"
"akibatnya";1;"balukarna";"n";"--";"--";"akibat"
"akibatnya";0;"matakna";"n";"--";"--";"matak"
"aksara";1;"aksara";"n";"--";"--";"aksara"
"akses";1;"aksés";"n";"--";"--";"aksés"
"aksesnya";1;"aksésna";"n";"--";"--";"aksésna"
"aksi";1;"aksi";"n";"--";"--";"aksi"
"aksinya";1;"aksina";"n";"--";"--";"aksi"
"aktif";1;"aktip";"a";"--";"--";"aktif"
"aktifkan";1;"aktipkeun";"a";"--";"--";"aktif"
"aktivitasnya";1;"kagiatanana";"n";"--";"--";"aktif"
"akun";1;"rekening";"n";"--";"--";"rekening"
"akur";1;"akur";"a";"--";"--";"akur"
"alam";1;"alam";"n";"--";"--";"alam"
"alamat";1;"alamat";"n";"--";"--";"alamat"
"alamatnya";1;"alamatna";"n";"--";"--";"alamat"
"alasan";1;"ékol";"n";"--";"--";"ékol"
"alasan";1;"alesan";"n";"--";"--";"alesan"
"alasannya";1;"alesanna";"n";"--";"--";"alesan"
"alat";1;"pakakas";"n";"--";"--";"pakakas"
"album";1;"albeum";"n";"--";"--";"albeum"
"alias";1;"landian";"n";"--";"--";"landi"
"alih";1;"alih";"--";"--";"--";"alih"
"alis";1;"halis";"n";"awak";"--";"halis"
"alkohol";1;"alkohol";"n";"--";"--";"alkohol"
"alu";1;"halu";"n";"--";"--";"halu"
"aman";1;"aman";"a";"--";"--";"amanat"
"amanah";1;"amanat";"n";"--";"--";"amanat"
"amanat";1;"amanat";"n";"--";"--";"amanat"
"amarah";1;"amarah";"n";"--";"--";"amarah"
"amati";1;"titénan";"vi";"--";"--";"titén"
"ambil";1;"cokot";"vi";"--";"--";"cokot"
