"FOREIGN";"Val";
"restructuring";13;
"corporate";23;
"software";30;
"escrow";14;
"microsoft";19;
"source";37;
"open";73;
"ososs";38;
"blog";410;
"that";237;
"january";190;
"people";184;
"airlines";164;
"comments";154;
"about";133;
"tags";132;
"this";102;
"online";102;
"love";100;
"reading";95;
"other";92;
"comment";88;
"freedom";87;
"life";84;
"from";66;
"what";66;
"agencies";36;"f"
"freedom";87;"f"
"penalty";36;"f"
"down";36;"f"
"hacking";36;"f"
"their";36;"f"
"over";36;"f"
"wife";36;"f"
"incredibly";36;"f"
"profesor";36;"f"
"including";36;"f"
"whimpering";36;"f"
