"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"--";1;"maenya";"q";"--";"--";"maenya"
"--";1;"kapalang";"ad";"--";;"kapalang"
"--";1;"ari";"c";"--";;"ari"
"adalah";1;"nyaéta";"ad";"--";"--";"éta"
"adapun";1;"sedengkeun";"c";"--";"--";"sedeng"
"adik";1;"adi";"pn";"pancakaki";"--";"adi"
"abang";1;"akang";"pn";"pancakaki";"--";"akang"
"agar";1;"ambéh";"c";"--";"--";"ambéh"
"aja";1;"waé";"ad";"--";"--";"waé"
"akan";1;"bakal";"m";"--";"--";"bakal"
"akan";1;"baris";"m";"--";"--";"baris"
"seakan";1;"kawas";"m";"--";"--";"baris"
"aku";1;"kuring";"pn";"jalma-1";"--";"kuring"
"anak";1;"anak";"pn";"pancakaki";"--";"anak"
"anaknya";1;"anakna";"pn";"pancakaki";"--";"anak"
"anak-anak";1;"barudak";"pn";"jalma-2";"--";"budak"
"bocah";1;"budak";"pn";"jalma-2";"--";"budak"
"anda";1;"anjeun";"pn";"jalma-2";"--";"anjeun"
"antara";1;"antara ";"p";"tempat";"--";"antara"
"apa";1;"naon";"q";"--";"--";"naon"
"apabila";1;"lamun";"c";"--";"--";"lamun"
"apakah";1;"naha";"q";"--";"--";"naha"
"apakan";1;"naonkeun";"q";"--";"--";"naon"
"apalagi";0;"upadi";"c";"--";"--";"upadi"
"apalagi";0;"angot";"c";"--";"--";"angot"
"apalagi";1;"sumawona";"c";"--";"--";"sumawona"
"atau";1;"atawa";"c";"satata";"--";"atawa"
"ataukah";1;"atawa";"c";"satata";"--";"atawa"
"ataupun";1;"atawa";"c";"satata";"--";"atawa"
"awas";1;"kadé";"r";"--";"--";"kadé"
"ayah";0;"abah";"pn";;;"abah"
"ayahnya";1;"bapana";"pn";"pancakaki";"--";"bapa"
"ayo";1;"hayu";"r";"--";"--";"hayu"
"bada";1;"sabada";"ad";"waktu";"--";"bada"
"bagaikan";1;"lir";"c";"--";"--";"lir"
"bagaimana";1;"kumaha";"q";"--";"--";"kumaha"
"bagaimanapun";1;"kumaha ogé";"c";"--";"--";"kumaha ogé"
"bagi";1;"pikeun";"p";"--";"--";"pikeun"
"bahkan";1;"komo";"ad";"--";"--";"komo"
"bahwa";1;"yén";"c";"--";"--";"yén"
"bakal";1;"bakal";"m";"--";"--";"bakal"
"bakalan";1;"bakal";"m";"--";"--";"bakal"
"bapak";1;"bapa";"pn";"pancakaki";"--";"bapa"
"bapaknya";1;"bapana";"pn";;;"bapa"
"barangkali";1;"sugan";"c";"--";"--";"sugan"
"bareng";1;"bareng";"c";"satata";"--";"bareng"
"barusan";1;"cikénéh";"ad";"waktu";;"cikénéh"
"beberapa";1;"sawatara";"b";"--";"--";"sawatara"
"begini";1;"kieu";"pn";"--";"--";"kieu"
"begitu";1;"kitu";"pn";"--";"--";"kitu"
