"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"adam";1;"adam";"n";"nabi";;
"alfarini";1;"alfarini";"n";"jalma";;
"allah";1;"alloh";"n";"pangéran";;
"andreae";1;"andreae";"n";"jalma";;
"bambang";1;"bambang";"n";"jalma";;
"blogspot";1;"blogspot";"n";"org";;
"darul";1;"darul";"n";"jalma";;
"hatta";1;"hatta";"n";"jalma";;
"hitler";1;"hitler";"n";"jalma";;
"ibrahim";1;"ibrahim";"n";"nabi";;
"isa";1;"isa";"n";"nabi";;
"kay";1;"kay";"n";"jalma";;
"maria";1;"maria";"n";"jalma";;
"maryam";1;"maryam";"n";"jalma";;
"meutia";1;"meutia";"n";"jalma";;
"muhammad";1;"muhammad";"n";"nabi";;
"musa";1;"musa";"n";"nabi";;
"nuh";1;"nuh";"n";"nabi";;
"paul";1;"paul";"n";"jalma";;
"pereira";1;"pereira";"n";"jalma";;
"renville";1;"renville";"n";"jalma";;
"reuters";1;"reuters";"n";"org";;
"safir";1;"safir";"n";"jalma";;
"sophia";1;"sophia";"n";"jalma";;
"sukarno";1;"sukarno";"n";"jalma";;
"supratman";1;"supratman";"n";"jalma";;
"susanto";1;"susanto";"n";"tempat";;
"susilo";1;"susilo";"n";"jalma";;
"yahya";1;"yahya";"n";"jalma";;
"yudhoyono";1;"yudhoyono";"n";"jalma";;
"zaini";1;"zaini";"n";"jalma";;
"aceh";1;"acéh";"n";"tempat";;
"afrika";1;"afrika";"n";"tempat";;
"albania";1;"albania";"n";"tempat";;
"ambon";1;"ambon";"n";"tempat";;
"amerika";1;"amérika";"n";"tempat";;
"amsterdam";1;"amsterdam";"n";"tempat";;
"arab";1;"arab";"n";"tempat";;
"asia";1;"asia";"n";"tempat";;
"australia";1;"australia";"n";"tempat";;
"bandung";1;"bandung";"n";"tempat";;
"bangladesh";1;"bangladésh";"n";"tempat";;
"banten";1;"banten";"n";"tempat";;
"belanda";1;"walanda";"n";"tempat";;
"belgia";1;"belgia";"n";"tempat";;
"birmingham";1;"birmingham";"n";"tempat";;
"brussel";1;"brussel";"n";"tempat";;
"bulgaria";1;"bulgaria";"n";"tempat";;
"burkina";1;"burkina";"n";"tempat";;
"catalina";1;"catalina";"n";"tempat";;
"changi";1;"changi";"n";"tempat";;
"ciamis";1;"ciamis";"n";"tempat";;
"cina";1;"cina";"n";"tempat";;
"eropa";1;"éropa";"n";"tempat";;
"hindia";1;"hindia";"n";"tempat";;
"hungaria";1;"hungaria";"n";"tempat";;
"india";1;"india";"n";"tempat";;
"indonesia";1;"indonésia";"n";"tempat";;
"inggris";1;"inggris";"n";"tempat";;
"irak";1;"irak";"n";"tempat";;
"iran";1;"iran";"n";"tempat";;
"istambul";1;"istambul";"n";"tempat";;
"italia";1;"italia";"n";"tempat";;
"jakarta";1;"jakarta";"n";"tempat";;
"jawa";1;"jawa";"n";"tempat";;
"jepang";1;"jepang";"n";"tempat";;
"jerman";1;"jerman";"n";"tempat";;
"kanada";1;"kanada";"n";"tempat";;
"korea";1;"koréa";"n";"tempat";;
"london";1;"london";"n";"tempat";;
"magelang";1;"magelang";"n";"tempat";;
"makassar";1;"makassar";"n";"tempat";;
"malaysia";1;"malaysia";"n";"tempat";;
"maluku";1;"maluku";"n";"tempat";;
"manila";1;"manila";"n";"tempat";;
"matoangin";1;"matoangin";"n";"tempat";;
"melbourne";1;"melbourne";"n";"tempat";;
"mesir";1;"mesir";"n";"tempat";;
"mountbatten";1;"mountbatten";"n";"tempat";;
"mozambik";1;"mozambik";"n";"tempat";;
"myanmar";1;"myanmar";"n";"tempat";;
"nikaragua";1;"nikaragua";"n";"tempat";;
"pakistan";1;"pakistan";"n";"tempat";;
"papua";1;"papua";"n";"tempat";;
"perancis";1;"perancis";"n";"tempat";;
"pinang";1;"pinang";"n";"tempat";;
"polandia";1;"polandia";"n";"tempat";;
"prancis";1;"perancis";"n";"tempat";;
"riau";1;"riau";"n";"tempat";;
"rusia";1;"rusia";"n";"tempat";;
"saudi";1;"saudi";"n";"tempat";;
"singapura";1;"singapura";"n";"tempat";;
"skotlandia";1;"skotlandia";"n";"tempat";;
"soviet";1;"sovyét";"n";"tempat";;
"sulawesi";1;"sulawesi";"n";"tempat";;
"surakarta";1;"surakarta";"n";"tempat";;
"tasikmalaya";1;"tasikmalaya";"n";"tempat";;
"tiongkok";1;"tiongkok";"n";"tempat";;
"turki";1;"turki";"n";"tempat";;
"wolverhampton";1;"wolverhampton";"n";"tempat";;
"yugoslavia";1;"yugoslavia";"n";"tempat";;
"yunani";1;"yunani";"n";"tempat";;
"pangalengan";1;"pangaléngan";"n";"tempat";;
"surabaya";1;"surabaya";"n";"tempat";;
"melayu";1;"malayu";"n";"tempat";;
"kalimantan";1;"kalimantan";"n";"tempat";;
"semarang";1;"semarang";"n";"tempat";;
"sukabumi";1;"sukabumi";"n";"tempat";;
"bogor";1;"bogor";"n";"tempat";;
"denpasar";1;"dénpasar";"n";"tempat";;
"ciamis";1;"ciamis";"n";"tempat";;
"lebanon";1;"libanon";"n";"tempat";;
"jambi";1;"jambi";"n";"tempat";;
"linggarjati";1;"linggarjati";"n";"tempat";;
"samarinda";1;"samarinda";"n";"tempat";;
"pontianak";1;"pontianak";"n";"tempat";;
"palestina";1;"paléstina";"n";"tempat";;
"padang";1;"padang";"n";"tempat";;
"priangan";1;"parahiangan";"n";"tempat";;
"bali";1;"bali";"n";"tempat";;
"sunda";1;"sunda";"n";"tempat";;
